"","LICENSE_NBR","STATUS","CREATE_DATE","EXPIRATION_DATE","INDUSTRY","BUSINESS_NAME","address","BORO","Year","Year2"
"1","1380082-DCA","Inactive",2011-01-05,2012-12-31,"Cigarette Retail Dealer","FOREST AND RICHMOND AVENUE DELI, INC.","920 RICHMOND AVE STATEN ISLAND NY 10314","STATEN ISLAND",2011,2012
"2","1381988-DCA","Inactive",2011-02-04,2012-12-31,"Cigarette Retail Dealer","F & A DELI, INC.","878 ANNADALE RD STATEN ISLAND NY 10312","STATEN ISLAND",2011,2012
"3","1383204-DCA","Inactive",2011-02-22,2012-12-31,"Cigarette Retail Dealer","M & B SMOKERS DELIGHT LLC","572 MIDLAND AVE STATEN ISLAND NY 10306","STATEN ISLAND",2011,2012
"4","1383624-DCA","Inactive",2011-02-28,2012-12-31,"Cigarette Retail Dealer","ISLAND SMOKES LLC","15 BROWER CT STATEN ISLAND NY 10308","STATEN ISLAND",2011,2012
"5","1384008-DCA","Inactive",2011-03-04,2012-12-31,"Cigarette Retail Dealer","HARBOR DELI & GRILL INC.","3007 RICHMOND TER STATEN ISLAND NY 10303","STATEN ISLAND",2011,2012
"6","1385236-DCA","Inactive",2011-03-17,2012-12-31,"Cigarette Retail Dealer","PARMAR'S DELI & GROCERY, INC.","585 MIDLAND AVE STATEN ISLAND NY 10306","STATEN ISLAND",2011,2012
"7","1385382-DCA","Inactive",2011-03-25,2012-12-31,"Cigarette Retail Dealer","AK 24 EXPRESS DELI INC.","517 JERSEY ST STATEN ISLAND NY 10301","STATEN ISLAND",2011,2012
"8","1391008-DCA","Inactive",2011-05-10,2012-12-31,"Cigarette Retail Dealer","OS DELI & BAGEL, INC.","1060 CASTLETON AVE STATEN ISLAND NY 10310","STATEN ISLAND",2011,2012
"9","1391050-DCA","Inactive",2011-05-10,2012-12-31,"Cigarette Retail Dealer","MPGQ INC.","175 TARGEE ST STATEN ISLAND NY 10304","STATEN ISLAND",2011,2012
"10","1391138-DCA","Inactive",2011-05-11,2012-12-31,"Cigarette Retail Dealer","RICHMOND NEW DELI INC","134 LINCOLN AVE STATEN ISLAND NY 10306","STATEN ISLAND",2011,2012
