"","LICENSE_NBR","STATUS","CREATE_DATE","EXPIRATION_DATE","INDUSTRY","BUSINESS_NAME","address","BORO","Year","Year2"
"1","1379759-DCA","Inactive",2011-01-03,2011-12-31,"Cigarette Retail Dealer","KASSEM, SALAH S, MUTLEK,BASEL S, ALMAKLANI, MOHAMMED_F A","2573 WEBSTER AVE BRONX NY 10458","BRONX",2011,2011
"2","1380138-DCA","Inactive",2011-01-05,2012-12-31,"Cigarette Retail Dealer","TEE'S CONVENIENCE CORP","621 E 187TH ST BRONX NY 10458","BRONX",2011,2012
"3","1380252-DCA","Inactive",2011-01-12,2012-12-31,"Cigarette Retail Dealer","SUPERMERCADO ""LA SIRENA"" CORP","193 MCCLELLAN ST BRONX NY 10456","BRONX",2011,2012
"4","1380672-DCA","Inactive",2011-01-13,2012-12-31,"Cigarette Retail Dealer","SALEH MARKET INC.","615 MELROSE AVE BRONX NY 10455","BRONX",2011,2012
"5","1380700-DCA","Inactive",2011-01-13,2012-12-31,"Cigarette Retail Dealer","SEYMOUR DELI GROCERY INC","3438 BOSTON RD BRONX NY 10469","BRONX",2011,2012
"6","1380744-DCA","Inactive",2011-01-13,2012-12-31,"Cigarette Retail Dealer","SUPREME GRILL HOT FOOD CORP.","890 MORRIS AVE BRONX NY 10451","BRONX",2011,2012
"7","1381258-DCA","Inactive",2011-01-24,2012-12-31,"Cigarette Retail Dealer","HUNTS POINT GOURMET INC","770 HUNTS POINT AVE BRONX NY 10474","BRONX",2011,2012
"8","1381304-DCA","Inactive",2011-01-25,2012-12-31,"Cigarette Retail Dealer","LAS TRES ROSAS GROCERY CORP.","288 E 168TH ST BRONX NY 10456","BRONX",2011,2012
"9","1379099-DCA","Inactive",2011-01-25,2012-12-31,"Cigarette Retail Dealer","LUNCH DELI GROCERY MARKET CORP.","928 TINTON AVE BRONX NY 10456","BRONX",2011,2012
"10","1382154-DCA","Inactive",2011-02-08,2012-12-31,"Cigarette Retail Dealer","SUNRISE HALAL GROCERY INC","7 E 182ND ST BRONX NY 10453","BRONX",2011,2012
"11","1382244-DCA","Inactive",2011-02-09,2012-12-31,"Cigarette Retail Dealer","EAST TREMONT SNACK MART INC.","3424 E TREMONT AVE BRONX NY 10465","BRONX",2011,2012
"12","1382362-DCA","Inactive",2011-02-09,2012-12-31,"Cigarette Retail Dealer","LQ DELI GROCERY CORP","1218 WESTCHESTER AVE BRONX NY 10459","BRONX",2011,2012
"13","1382970-DCA","Inactive",2011-02-17,2012-12-31,"Cigarette Retail Dealer","VYSE GROCERY CORP.","1492 VYSE AVE BRONX NY 10460","BRONX",2011,2012
"14","1383192-DCA","Inactive",2011-02-23,2012-12-31,"Cigarette Retail Dealer","GAME STAR DELI GROCERY LLC","233 E 165TH ST BRONX NY 10456","BRONX",2011,2012
"15","1383256-DCA","Inactive",2011-02-24,2012-12-31,"Cigarette Retail Dealer","ALMANZAR GROCERY STORE INC.","29 CLINTON PL BRONX NY 10453","BRONX",2011,2012
"16","1383230-DCA","Inactive",2011-02-24,2012-12-31,"Cigarette Retail Dealer","PYRAMID GROCERY INC.","2243 HUGHES AVE BRONX NY 10457","BRONX",2011,2012
"17","1383614-DCA","Inactive",2011-02-28,2012-12-31,"Cigarette Retail Dealer","BR DELI CORP.","3432A BOSTON RD BRONX NY 10469","BRONX",2011,2012
