"","LICENSE_NBR","STATUS","CREATE_DATE","EXPIRATION_DATE","INDUSTRY","BUSINESS_NAME","address","BORO","Year","Year2"
"1","1043663-DCA","Inactive",2011-11-10,2007-12-31,"Cigarette Retail Dealer","PAVLATOS & NIFORATOS CORP.","303 E 46TH ST NEW YORK NY 10017","MANHATTAN",2011,2007
"2","1376857-DCA","Inactive",2011-01-03,2011-12-31,"Cigarette Retail Dealer","SEIKO 5 NY DELI GROCERY INC.","2163 2ND AVE NEW YORK NY 10029","MANHATTAN",2011,2011
"3","1380020-DCA","Inactive",2011-01-04,2012-12-31,"Cigarette Retail Dealer","346 DELI INC.","346 E 106TH ST NEW YORK NY 10029","MANHATTAN",2011,2012
"4","1380454-DCA","Inactive",2011-01-10,2012-12-31,"Cigarette Retail Dealer","HILLTOP GROCERY AT GRAND INC.","523 GRAND ST NEW YORK NY 10002","MANHATTAN",2011,2012
"5","1380548-DCA","Inactive",2011-01-11,2012-12-31,"Cigarette Retail Dealer","FALCAN GROCERY INC.","1916 ADAM CLAYTON POWELL JR BLVD NEW YORK NY 10026","MANHATTAN",2011,2012
"6","1380554-DCA","Inactive",2011-01-11,2012-12-31,"Cigarette Retail Dealer","SUPER DELI MINI MARKET INC.","1649 SAINT NICHOLAS AVE NEW YORK NY 10040","MANHATTAN",2011,2012
"7","1380570-DCA","Inactive",2011-01-12,2012-12-31,"Cigarette Retail Dealer","EAST RIVER DELI GROCERY, INC.","330 E 106TH ST NEW YORK NY 10029","MANHATTAN",2011,2012
"8","1076812-DCA","Inactive",2011-01-13,2012-12-31,"Cigarette Retail Dealer","CHOUDHURY, SHAHIN & CHOUDHURY, RAZA","248 E 14TH ST NEW YORK NY 10003","MANHATTAN",2011,2012
"9","1380694-DCA","Inactive",2011-01-13,2012-12-31,"Cigarette Retail Dealer","FLORIDA DELI INC.","316 SAINT NICHOLAS AVE NEW YORK NY 10027","MANHATTAN",2011,2012
"10","1381066-DCA","Inactive",2011-01-19,2012-12-31,"Cigarette Retail Dealer","H & S DISCOUNT INC.","301 W 114TH ST NEW YORK NY 10026","MANHATTAN",2011,2012
"11","1381170-DCA","Inactive",2011-01-20,2012-12-31,"Cigarette Retail Dealer","M.A. FOOD CENTER CORP.","3852 10TH AVE NEW YORK NY 10034","MANHATTAN",2011,2012
"12","1381690-DCA","Inactive",2011-01-28,2012-12-31,"Cigarette Retail Dealer","NUVE MIGUEL CORP.","755 AMSTERDAM AVE NEW YORK NY 10025","MANHATTAN",2011,2012
"13","1381564-DCA","Inactive",2011-01-28,2012-12-31,"Cigarette Retail Dealer","LUZ HUMBERTO CORP.","801 AMSTERDAM AVE NEW YORK NY 10025","MANHATTAN",2011,2012
"14","1381952-DCA","Inactive",2011-02-04,2012-12-31,"Cigarette Retail Dealer","1220 IBB GROCERY CORP.","1220 SAINT NICHOLAS AVE NEW YORK NY 10032","MANHATTAN",2011,2012
"15","1382134-DCA","Inactive",2011-02-07,2012-12-31,"Cigarette Retail Dealer","STOP AND SHOP II CORP.","3866 10TH AVE NEW YORK NY 10034","MANHATTAN",2011,2012
"16","1377411-DCA","Inactive",2011-02-07,2012-12-31,"Cigarette Retail Dealer","TRAVEL TRADERS HOTEL STORES, INC.","270 W 45TH ST NEW YORK NY 10036","MANHATTAN",2011,2012
