GEOID,NAME,totpop,propwhite,medincome,propdegree,geometry,census_tract,count
36081069300,"Census Tract 693, Queens County, New York",2619,0.605,53427,0.397,"list(list(c(-73.860767, -73.860226, -73.860755, -73.861161, -73.861566, -73.861763, -73.8641, -73.8663, -73.865893, -73.865487, -73.865081, -73.864575, -73.862471, -73.862354, -73.861417, -73.860767, 40.729561, 40.729355, 40.728536, 40.727893, 40.72725, 40.726922, 40.727382, 40.728186, 40.72883, 40.729472, 40.730113, 40.730932, 40.73018, 40.730137, 40.729817, 40.729561)))",36081069300,2
36081071701,"Census Tract 717.01, Queens County, New York",5125,0.606,53667,0.287,"list(list(c(-73.858321, -73.857652, -73.857309, -73.857049, -73.856597, -73.856257, -73.858511, -73.858165, -73.857828, -73.857411, -73.858088, -73.858645, -73.859682, -73.860226, -73.860767, -73.861417, -73.862354, -73.862471, -73.864575, -73.863871, -73.863424, -73.861666, -73.860778, -73.859887, -73.859259, -73.858523, -73.858321, 40.733468, 40.733668, 40.733004, 40.732512, 40.731623, 40.730959, 40.730287, 40.729625, 40.728975, 40.728341, 40.728569, 40.728764, 40.729144, 40.729355, 40.729561, 
40.729817, 40.730137, 40.73018, 40.730932, 40.731814, 40.731951, 40.732473, 40.732737, 40.733002, 40.733188, 40.733408, 40.733468)))",36081071701,4
36081074300,"Census Tract 743, Queens County, New York",4208,0.5770000000000001,51360,0.2,"list(list(c(-73.846325, -73.845987, -73.848237, -73.850253, -73.850794, -73.851137, -73.851479, -73.851821, -73.852164, -73.852522, -73.850304, -73.848047, -73.847694, -73.847354, -73.847008, -73.846667, -73.846325, 40.731616, 40.730955, 40.730283, 40.729655, 40.730288, 40.730953, 40.731618, 40.732282, 40.732947, 40.733619, 40.734296, 40.734967, 40.734277, 40.733611, 40.732947, 40.732283, 40.731616)))",36081074300,2
36081077500,"Census Tract 775, Queens County, New York",2024,0.7170000000000001,42451,0.457,"list(list(c(-73.834982, -73.835176, -73.835558, -73.836185, -73.837147, -73.834812, -73.834108, -73.833041, -73.832626, -73.832041, -73.831372, -73.829314, -73.82913, -73.828899, -73.828728, -73.82836, -73.828099, -73.827722, -73.828963, -73.829687, -73.830194, -73.830627, -73.830661, -73.830765, -73.831165, -73.831667, -73.831764, -73.83284, -73.834982, 40.707098, 40.707175, 40.707328, 40.707573, 40.707957, 40.709643, 40.709949, 40.710442, 40.710333, 40.710678, 40.711109, 40.712423, 40.712154, 40.711757, 
40.711506, 40.711129, 40.710946, 40.710603, 40.709812, 40.709348, 40.709023, 40.708739, 40.708604, 40.70829, 40.707655, 40.707038, 40.706142, 40.706461, 40.707098)))",36081077500,2
36081078800,"Census Tract 788, Queens County, New York",1496,0.055,54594,0.275,"list(list(c(-73.790297, -73.789886, -73.789017, -73.788085, -73.788476, -73.788831, -73.789158, -73.78941, -73.790395, -73.791244, -73.791299, -73.792174, -73.791882, -73.79155, -73.792438, -73.792084, -73.791652, -73.791498, -73.790798, -73.790474, -73.790297, 40.673363, 40.673298, 40.673158, 40.67301, 40.671327, 40.669823, 40.668338, 40.666841, 40.666888, 40.666899, 40.66697, 40.66704, 40.668638, 40.670207, 40.670328, 40.671815, 40.67349, 40.673477, 40.673419, 40.673391, 40.673363)))",36081078800,2
36081085300,"Census Tract 853, Queens County, New York",4684,0.142,39861,0.29600000000000004,"list(list(c(-73.827825, -73.829867, -73.830138, -73.830553, -73.829961, -73.82828, -73.828792, -73.829134, -73.829469, -73.829623, -73.82974, -73.829842, -73.83014, -73.827795, -73.826541, -73.826211, -73.825968, -73.82561, -73.82557, -73.825185, -73.826027, -73.82709, -73.825781, -73.824718, -73.825732, -73.827144, -73.827825, 40.754251, 40.753495, 40.753915, 40.754545, 40.754768, 40.755392, 40.756673, 40.757523, 40.758194, 40.758515, 40.758749, 40.758962, 40.75957, 40.760151, 40.760464, 40.759828, 
40.759329, 40.758581, 40.758498, 40.757649, 40.757433, 40.757143, 40.756354, 40.755488, 40.755079, 40.75451, 40.754251)))",36081085300,3
36081086900,"Census Tract 869, Queens County, New York",1696,0.102,46650,0.436,"list(list(c(-73.835286, -73.835394, -73.83548, -73.836598, -73.837093, -73.837326, -73.837798, -73.838804, -73.839167, -73.838993, -73.838502, -73.837011, -73.834891, -73.834309, -73.833439, -73.833243, -73.832578, -73.831925, -73.831443, -73.830686, -73.829059, -73.827863, -73.828264, -73.827516, -73.829663, -73.831119, -73.832744, -73.832993, -73.834922, -73.835173, -73.835286, 40.761386, 40.762098, 40.762673, 40.762688, 40.76268, 40.76268, 40.763461, 40.76497, 40.765357, 40.765889, 40.766667, 
40.768448, 40.770384, 40.770748, 40.771305, 40.770999, 40.769353, 40.767754, 40.76657, 40.764712, 40.765093, 40.765363, 40.763926, 40.762421, 40.761882, 40.761548, 40.760949, 40.760855, 40.760255, 40.761048, 40.761386)))",36081086900,2
36081088901,"Census Tract 889.01, Queens County, New York",9280,0.312,50803,0.332,"list(list(c(-73.827863, -73.829059, -73.830686, -73.831443, -73.831925, -73.832578, -73.833243, -73.833439, -73.832263, -73.83139, -73.830603, -73.829609, -73.829567, -73.829289, -73.828842, -73.8281, -73.827507, -73.826428, -73.825993, -73.824998, -73.824624, -73.823841, -73.822241, -73.822918, -73.823313, -73.823547, -73.823796, -73.824054, -73.824394, -73.825852, -73.826253, -73.826477, -73.826575, -73.826575, -73.826566, -73.826558, -73.826572, -73.826683, -73.826848, -73.827058, -73.827351, 
-73.827537, -73.82769, -73.827863, 40.765363, 40.765093, 40.764712, 40.76657, 40.767754, 40.769353, 40.770999, 40.771305, 40.771922, 40.77238, 40.773081, 40.773967, 40.774004, 40.77427, 40.774699, 40.776031, 40.777096, 40.779034, 40.77982, 40.781732, 40.781706, 40.781717, 40.781694, 40.780536, 40.779579, 40.779036, 40.778419, 40.777718, 40.776729, 40.77591, 40.774521, 40.773116, 40.772345, 40.77163, 40.770642, 40.770137, 40.769961, 40.768957, 40.767987, 40.767529, 40.766856, 40.766464, 40.766104, 
40.765363)))",36081088901,2
36081001800,"Census Tract 18, Queens County, New York",3103,0.258,48393,0.21,"list(list(c(-73.848834, -73.849698, -73.850571, -73.851446, -73.85231, -73.85321, -73.853785, -73.854176, -73.854679, -73.853839, -73.853234, -73.852165, -73.851505, -73.851182, -73.850865, -73.85007, -73.849743, -73.849552, -73.849246, -73.848834, 40.688132, 40.687904, 40.687661, 40.687411, 40.687166, 40.688946, 40.690457, 40.691535, 40.692831, 40.693051, 40.693264, 40.693661, 40.692421, 40.691812, 40.69125, 40.689841, 40.689143, 40.688945, 40.68856, 40.688132)))",36081001800,2
36081002800,"Census Tract 28, Queens County, New York",3177,0.46,54398,0.315,"list(list(c(-73.841398, -73.841081, -73.842805, -73.844191, -73.844307, -73.845026, -73.845967, -73.846618, -73.847733, -73.846879, -73.84644, -73.845397, -73.843442, -73.843289, -73.842975, -73.842661, -73.842342, -73.842027, -73.841712, -73.841398, 40.691, 40.690357, 40.689868, 40.689474, 40.689442, 40.689238, 40.691166, 40.692495, 40.694775, 40.695072, 40.695026, 40.695157, 40.695187, 40.694858, 40.694217, 40.693573, 40.69293, 40.692286, 40.691643, 40.691)))",36081002800,3
36081004001,"Census Tract 40.01, Queens County, New York",2050,0.292,54675,0.295,"list(list(c(-73.847868, -73.848634, -73.849216, -73.849764, -73.85074, -73.851979, -73.851129, -73.850284, -73.849422, -73.848543, -73.847662, -73.846784, -73.846034, -73.844918, -73.844215, -73.843352, -73.842476, -73.842231, -73.842175, -73.841196, -73.841252, -73.841514, -73.84237, -73.843231, -73.844089, -73.844511, -73.844943, -73.845832, -73.846715, -73.847578, -73.847868, 40.681487, 40.681684, 40.681844, 40.681987, 40.682223, 40.682564, 40.682809, 40.683049, 40.683295, 40.683544, 40.683794, 
40.684045, 40.684258, 40.684576, 40.684775, 40.68502, 40.685269, 40.685338, 40.685354, 40.683351, 40.683336, 40.683262, 40.683018, 40.682775, 40.682529, 40.682415, 40.68231, 40.682106, 40.681859, 40.68158, 40.681487)))",36081004001,4
