LICENSE_NBR,STATUS,CREATE_DATE,EXPIRATION_DATE,INDUSTRY,BUSINESS_NAME,address,BORO,Year,Year2,lon,lat,census_code,census_tract
2017015-1-DCA,Inactive,2015-01-05T00:00:00Z,2015-12-31T00:00:00Z,Cigarette Retail Dealer,BOUBACAR DIALLO,2061 7TH AVE NEW YORK NY 10027,MANHATTAN,2015,2015,-73.9489263,40.8077087,360610222002002,36061022200
2018397-1-DCA,Inactive,2015-02-17T00:00:00Z,2015-12-31T00:00:00Z,Cigarette Retail Dealer,3620 FINEST DELI CORP.,3620 BROADWAY NEW YORK NY 10031,MANHATTAN,2015,2015,-73.9481885,40.8290007,360610233002000,36061023300
2017149-2-DCA,Inactive,2015-01-08T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,KATI JUNCTION INC.,200 W 40TH ST NEW YORK NY 10018,MANHATTAN,2015,2016,-73.98848989999999,40.7548669,360610113001004,36061011300
2017214-2-DCA,Inactive,2015-01-09T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,F & N DELI INC,2363 A C POWELL BLVD NEW YORK NY 10030,MANHATTAN,2015,2016,-73.9417514,40.8173437,360610230002001,36061023000
2017395-2-DCA,Inactive,2015-01-16T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,STOP & SHOP NY INC,319 E HOUSTON ST NEW YORK NY 10002,MANHATTAN,2015,2016,-73.98302980000001,40.7209147,360610022011001,36061002201
2017562-2-DCA,Inactive,2015-01-23T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,HEADLINE NEWS II INC.,371 7TH AVE NEW YORK NY 10001,MANHATTAN,2015,2016,-73.9919808,40.748809,360610101001006,36061010100
2017811-2-DCA,Inactive,2015-01-29T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,VILLAGE NEWSSTAND INC,112 GREENWICH AVE NEW YORK NY 10011,MANHATTAN,2015,2016,-74.0019916,40.7384368,360610077001001,36061007700
2017931-2-DCA,Inactive,2015-02-04T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,ZION FARM LLC,55 E 59TH ST NEW YORK NY 10022,MANHATTAN,2015,2016,-73.9706763,40.7635864,360610114011003,36061011401
2018361-2-DCA,Inactive,2015-02-17T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,Essentials Unlimited LLC,101 SHERMAN AVE NEW YORK NY 10034,MANHATTAN,2015,2016,-73.9253044,40.8636489,360610291005000,36061029100
2018720-2-DCA,Inactive,2015-02-26T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,J L I FOOD CORP,1607 SAINT NICHOLAS AVE NEW YORK NY 10040,MANHATTAN,2015,2016,-73.92978219999999,40.85529349999999,360610279002002,36061027900
2018842-2-DCA,Inactive,2015-03-02T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,"Edible Kitchens I, Inc",213 PARK AVE S NEW YORK NY 10003,MANHATTAN,2015,2016,-73.98864139999999,40.7367217,360610050002002,36061005000
2018831-2-DCA,Inactive,2015-03-02T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,Z S News Stand Corp,1880 3RD AVE NEW YORK NY 10029,MANHATTAN,2015,2016,-73.9459704,40.790207,360610166001001,36061016600
2019392-2-DCA,Inactive,2015-03-11T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,"CAMPUS DELI AND GROCERY, INC.",501 W 139TH ST NEW YORK NY 10031,MANHATTAN,2015,2016,-73.95081510000001,40.8212975,360610225005001,36061022500
2019519-2-DCA,Inactive,2015-03-13T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,"CITY CANDY LUCKY LOTTO, INC.",1871 LEXINGTON AVE NEW YORK NY 10035,MANHATTAN,2015,2016,-73.9413534,40.7987425,360610182003002,36061018200
2019732-2-DCA,Inactive,2015-03-19T00:00:00Z,2016-12-31T00:00:00Z,Cigarette Retail Dealer,Lobby Gift Shop Inc.,790 8TH AVE NEW YORK NY 10019,MANHATTAN,2015,2016,-73.986718,40.761119,360610125002000,36061012500
