GEOID,NAME,totpop,propwhite,medincome,propdegree,geometry
36047005201,"Census Tract 52.01, Kings County, New York",1722,0.5380241823184791,29531,0.3455666084380387,"list(list(c(-74.0418192132994, -74.040291, -74.039961, -74.034601, -74.034886, -74.035437, -74.038095, -74.040475, -74.0413991059603, -74.0414213288962, -74.0416287977179, -74.0418192132994, 40.622344566278, 40.622546, 40.623276, 40.622001, 40.62132, 40.619956, 40.620585, 40.62079, 40.6205710940132, 40.6206649075623, 40.6215407318259, 40.622344566278)))"
36047005601,"Census Tract 56.01, Kings County, New York",2482,0.6793447344718041,53984,1.3187568803181338,"list(list(c(-74.040247207532, -74.038364, -74.037975, -74.035682, -74.035925, -74.033866, -74.031515, -74.031947, -74.032637, -74.034579, -74.037068, -74.0392655790145, -74.03959, -74.0395989873548, -74.0396105002328, -74.0396194803355, -74.0399350595924, -74.040247207532, 40.6157083845955, 40.616513, 40.615859, 40.616671, 40.617055, 40.616594, 40.61533, 40.614815, 40.61401, 40.61486, 40.613819, 40.6126282788836, 40.612934, 40.6129719398858, 40.6130205412023, 40.6130584504737, 40.6143906601431, 40.6157083845955
)))"
36047005800,"Census Tract 58, Kings County, New York",3333,0.2365403377247187,50528,0.8942107885583606,"list(list(c(-74.035437, -74.034886, -74.032195, -74.029564, -74.028205, -74.029302, -74.030485, -74.033313, -74.03599, -74.035437, 40.619956, 40.62132, 40.620688, 40.619833, 40.619173, 40.617896, 40.616518, 40.617945, 40.618596, 40.619956)))"
36047005900,"Census Tract 59, Kings County, New York",1429,0.038691564710062853,57143,0.7766441785325775,"list(list(c(-74.0117, -74.010451, -74.0092, -74.006919, -74.006713, -74.006623, -74.005819, -74.00596, -74.005675, -74.004473, -74.003431, -74.003346, -74.003018, -74.002255, -74.001539, -74.000699, -74.001213, -74.001354, -74.003194, -74.003503, -74.004764, -74.006491, -74.006298, -74.008302, -74.009544, -74.011055, -74.0117, 40.679365, 40.680431, 40.681496, 40.683451, 40.683615, 40.683658, 40.683656, 40.683363, 40.68293, 40.680993, 40.679708, 40.67963, 40.679148, 40.678205, 40.677268, 40.675571, 
40.67587, 40.675791, 40.676271, 40.675631, 40.67671, 40.677194, 40.677604, 40.67897, 40.677898, 40.678926, 40.679365)))"
36047006200,"Census Tract 62, Kings County, New York",2818,0.2051357705795353,47050,-0.21614052835181508,"list(list(c(-74.033389, -74.033108, -74.032555, -74.029871, -74.027153, -74.027734, -74.027991, -74.02835, -74.033742, -74.033389, 40.624968, 40.625647, 40.62701, 40.626374, 40.625727, 40.624301, 40.623683, 40.622799, 40.624099, 40.624968)))"
36047006800,"Census Tract 68, Kings County, New York",5290,-0.2031236023078491,40857,0.28678330342514696,"list(list(c(-74.029357, -74.029134, -74.028658, -74.028279, -74.025666, -74.025472, -74.02291, -74.023235, -74.023518, -74.023884, -74.024238, -74.026039, -74.026951, -74.029633, -74.029357, 40.634837, 40.635373, 40.636546, 40.637468, 40.636667, 40.63714, 40.636108, 40.635318, 40.634616, 40.633724, 40.632859, 40.633303, 40.633516, 40.634153, 40.634837)))"
36047007000,"Census Tract 70, Kings County, New York",2463,0.05125339156813657,42218,-0.35983305171666147,"list(list(c(-74.028004, -74.027624, -74.026861, -74.024754, -74.023545, -74.023105, -74.021165, -74.021774, -74.021087, -74.021359, -74.022626, -74.02291, -74.025472, -74.025666, -74.028279, -74.028004, 40.638145, 40.638805, 40.639536, 40.638121, 40.639314, 40.639996, 40.641417, 40.64041, 40.638262, 40.637967, 40.636799, 40.636108, 40.63714, 40.636667, 40.637468, 40.638145)))"
36047007100,"Census Tract 71, Kings County, New York",5002,-0.9599736705067686,36890,0.23453147674702066,"list(list(c(-73.989556, -73.989129, -73.988712, -73.988289, -73.986119, -73.983953, -73.984375, -73.985231, -73.986104, -73.987668, -73.988272, -73.990424, -73.989556, 40.683956, 40.68459, 40.685224, 40.685869, 40.685024, 40.684182, 40.683543, 40.68228, 40.681009, 40.680818, 40.681863, 40.682694, 40.683956)))"
36047007200,"Census Tract 72, Kings County, New York",2341,-1.1986483808101622,37364,-0.17042018000845485,"list(list(c(-74.021165, -74.020966, -74.020857, -74.020212, -74.018422, -74.019024, -74.019608, -74.02019, -74.021087, -74.021774, -74.021165, 40.641417, 40.641651, 40.641435, 40.641981, 40.640846, 40.640264, 40.639704, 40.639145, 40.638262, 40.64041, 40.641417)))"
36047007400,"Census Tract 74, Kings County, New York",6061,-1.3211261926763775,46204,-0.20960905001704933,"list(list(c(-74.019011, -74.017926, -74.017877, -74.01607, -74.013814, -74.01498, -74.015562, -74.016167, -74.018422, -74.020212, -74.019011, 40.643165, 40.644233, 40.644201, 40.643109, 40.641745, 40.640626, 40.640067, 40.639483, 40.640846, 40.641981, 40.643165)))"
