GEOID,NAME,totpop,propwhite,medincome,propdegree,geometry,census_tract,count
36081069300,"Census Tract 693, Queens County, New York",2619,0.605,53427,0.397,"list(list(c(-73.860767, -73.860226, -73.860755, -73.861161, -73.861566, -73.861763, -73.8641, -73.8663, -73.865893, -73.865487, -73.865081, -73.864575, -73.862471, -73.862354, -73.861417, -73.860767, 40.729561, 40.729355, 40.728536, 40.727893, 40.72725, 40.726922, 40.727382, 40.728186, 40.72883, 40.729472, 40.730113, 40.730932, 40.73018, 40.730137, 40.729817, 40.729561)))",36081069300,2
36081071701,"Census Tract 717.01, Queens County, New York",5125,0.606,53667,0.287,"list(list(c(-73.858321, -73.857652, -73.857309, -73.857049, -73.856597, -73.856257, -73.858511, -73.858165, -73.857828, -73.857411, -73.858088, -73.858645, -73.859682, -73.860226, -73.860767, -73.861417, -73.862354, -73.862471, -73.864575, -73.863871, -73.863424, -73.861666, -73.860778, -73.859887, -73.859259, -73.858523, -73.858321, 40.733468, 40.733668, 40.733004, 40.732512, 40.731623, 40.730959, 40.730287, 40.729625, 40.728975, 40.728341, 40.728569, 40.728764, 40.729144, 40.729355, 40.729561, 
40.729817, 40.730137, 40.73018, 40.730932, 40.731814, 40.731951, 40.732473, 40.732737, 40.733002, 40.733188, 40.733408, 40.733468)))",36081071701,4
36081074300,"Census Tract 743, Queens County, New York",4208,0.5770000000000001,51360,0.2,"list(list(c(-73.846325, -73.845987, -73.848237, -73.850253, -73.850794, -73.851137, -73.851479, -73.851821, -73.852164, -73.852522, -73.850304, -73.848047, -73.847694, -73.847354, -73.847008, -73.846667, -73.846325, 40.731616, 40.730955, 40.730283, 40.729655, 40.730288, 40.730953, 40.731618, 40.732282, 40.732947, 40.733619, 40.734296, 40.734967, 40.734277, 40.733611, 40.732947, 40.732283, 40.731616)))",36081074300,2
36081077500,"Census Tract 775, Queens County, New York",2024,0.7170000000000001,42451,0.457,"list(list(c(-73.834982, -73.835176, -73.835558, -73.836185, -73.837147, -73.834812, -73.834108, -73.833041, -73.832626, -73.832041, -73.831372, -73.829314, -73.82913, -73.828899, -73.828728, -73.82836, -73.828099, -73.827722, -73.828963, -73.829687, -73.830194, -73.830627, -73.830661, -73.830765, -73.831165, -73.831667, -73.831764, -73.83284, -73.834982, 40.707098, 40.707175, 40.707328, 40.707573, 40.707957, 40.709643, 40.709949, 40.710442, 40.710333, 40.710678, 40.711109, 40.712423, 40.712154, 40.711757, 
40.711506, 40.711129, 40.710946, 40.710603, 40.709812, 40.709348, 40.709023, 40.708739, 40.708604, 40.70829, 40.707655, 40.707038, 40.706142, 40.706461, 40.707098)))",36081077500,2
36081077907,"Census Tract 779.07, Queens County, New York",3325,0.728,51125,0.348,"list(list(c(-73.815469, -73.81512, -73.817389, -73.819355, -73.819695, -73.82004, -73.820377, -73.820758, -73.821077, -73.821432, -73.821821, -73.821208, -73.81978, -73.817492, -73.817171, -73.816831, -73.81649, -73.816146, -73.815807, -73.815469, 40.72394, 40.72328, 40.722602, 40.722018, 40.722682, 40.723346, 40.723999, 40.724667, 40.725352, 40.725992, 40.726686, 40.726838, 40.727256, 40.727879, 40.72727, 40.726596, 40.725935, 40.725271, 40.724606, 40.72394)))",36081077907,1
36081078800,"Census Tract 788, Queens County, New York",1496,0.055,54594,0.275,"list(list(c(-73.790297, -73.789886, -73.789017, -73.788085, -73.788476, -73.788831, -73.789158, -73.78941, -73.790395, -73.791244, -73.791299, -73.792174, -73.791882, -73.79155, -73.792438, -73.792084, -73.791652, -73.791498, -73.790798, -73.790474, -73.790297, 40.673363, 40.673298, 40.673158, 40.67301, 40.671327, 40.669823, 40.668338, 40.666841, 40.666888, 40.666899, 40.66697, 40.66704, 40.668638, 40.670207, 40.670328, 40.671815, 40.67349, 40.673477, 40.673419, 40.673391, 40.673363)))",36081078800,2
36081079701,"Census Tract 797.01, Queens County, New York",6868,0.10300000000000001,49297,0.33799999999999997,"list(list(c(-73.821925, -73.822693, -73.823024, -73.824233, -73.824923, -73.825697, -73.826362, -73.826887, -73.82629, -73.825508, -73.826082, -73.827144, -73.825732, -73.824718, -73.823979, -73.823396, -73.823343, -73.822909, -73.822803, -73.821925, 40.753167, 40.752729, 40.75254, 40.751855, 40.75144, 40.750998, 40.751859, 40.75249, 40.752712, 40.753, 40.753529, 40.75451, 40.755079, 40.755488, 40.754868, 40.754377, 40.754333, 40.753968, 40.75388, 40.753167)))",36081079701,1
36081084500,"Census Tract 845, Queens County, New York",4851,0.16899999999999998,34899,0.498,"list(list(c(-73.824233, -73.823024, -73.822693, -73.821925, -73.820849, -73.819989, -73.819411, -73.819116, -73.818837, -73.818265, -73.817795, -73.817686, -73.817134, -73.816543, -73.815988, -73.815373, -73.815757, -73.816904, -73.81782, -73.818731, -73.81962, -73.820523, -73.821319, -73.822396, -73.823213, -73.824233, 40.751855, 40.75254, 40.752729, 40.753167, 40.752242, 40.751429, 40.750888, 40.750621, 40.750352, 40.749827, 40.749392, 40.749288, 40.748783, 40.74826, 40.74777, 40.747218, 40.746975, 
40.747216, 40.747385, 40.747712, 40.748042, 40.748357, 40.748758, 40.749864, 40.750708, 40.751855)))",36081084500,1
36081085300,"Census Tract 853, Queens County, New York",4684,0.142,39861,0.29600000000000004,"list(list(c(-73.827825, -73.829867, -73.830138, -73.830553, -73.829961, -73.82828, -73.828792, -73.829134, -73.829469, -73.829623, -73.82974, -73.829842, -73.83014, -73.827795, -73.826541, -73.826211, -73.825968, -73.82561, -73.82557, -73.825185, -73.826027, -73.82709, -73.825781, -73.824718, -73.825732, -73.827144, -73.827825, 40.754251, 40.753495, 40.753915, 40.754545, 40.754768, 40.755392, 40.756673, 40.757523, 40.758194, 40.758515, 40.758749, 40.758962, 40.75957, 40.760151, 40.760464, 40.759828, 
40.759329, 40.758581, 40.758498, 40.757649, 40.757433, 40.757143, 40.756354, 40.755488, 40.755079, 40.75451, 40.754251)))",36081085300,3
36081085500,"Census Tract 855, Queens County, New York",6403,0.207,47802,0.33,"list(list(c(-73.825078, -73.824422, -73.822072, -73.821767, -73.821558, -73.821164, -73.820758, -73.823213, -73.825185, -73.82557, -73.82561, -73.825968, -73.826211, -73.826541, -73.825078, 40.760829, 40.760994, 40.761625, 40.76098, 40.760534, 40.759686, 40.758842, 40.75818, 40.757649, 40.758498, 40.758581, 40.759329, 40.759828, 40.760464, 40.760829)))",36081085500,1
36081085700,"Census Tract 857, Queens County, New York",6415,0.156,33545,0.349,"list(list(c(-73.821431, -73.823291, -73.823979, -73.824718, -73.825781, -73.82709, -73.826027, -73.825185, -73.823213, -73.820758, -73.820636, -73.820045, -73.819233, -73.819836, -73.820863, -73.821431, 40.756521, 40.755313, 40.754868, 40.755488, 40.756354, 40.757143, 40.757433, 40.757649, 40.75818, 40.758842, 40.758872, 40.758483, 40.757947, 40.757544, 40.756881, 40.756521)))",36081085700,1
36081086900,"Census Tract 869, Queens County, New York",1696,0.102,46650,0.436,"list(list(c(-73.835286, -73.835394, -73.83548, -73.836598, -73.837093, -73.837326, -73.837798, -73.838804, -73.839167, -73.838993, -73.838502, -73.837011, -73.834891, -73.834309, -73.833439, -73.833243, -73.832578, -73.831925, -73.831443, -73.830686, -73.829059, -73.827863, -73.828264, -73.827516, -73.829663, -73.831119, -73.832744, -73.832993, -73.834922, -73.835173, -73.835286, 40.761386, 40.762098, 40.762673, 40.762688, 40.76268, 40.76268, 40.763461, 40.76497, 40.765357, 40.765889, 40.766667, 
40.768448, 40.770384, 40.770748, 40.771305, 40.770999, 40.769353, 40.767754, 40.76657, 40.764712, 40.765093, 40.765363, 40.763926, 40.762421, 40.761882, 40.761548, 40.760949, 40.760855, 40.760255, 40.761048, 40.761386)))",36081086900,2
